,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date,NewCases
0,Singapore,SG,,,,1.35,103.82,0,confirmed,2020-01-22T00:00:00Z,0.0
1,Singapore,SG,,,,1.35,103.82,1,confirmed,2020-01-23T00:00:00Z,1.0
2,Singapore,SG,,,,1.35,103.82,3,confirmed,2020-01-24T00:00:00Z,2.0
3,Singapore,SG,,,,1.35,103.82,3,confirmed,2020-01-25T00:00:00Z,0.0
4,Singapore,SG,,,,1.35,103.82,4,confirmed,2020-01-26T00:00:00Z,1.0
5,Singapore,SG,,,,1.35,103.82,5,confirmed,2020-01-27T00:00:00Z,1.0
6,Singapore,SG,,,,1.35,103.82,7,confirmed,2020-01-28T00:00:00Z,2.0
7,Singapore,SG,,,,1.35,103.82,7,confirmed,2020-01-29T00:00:00Z,0.0
8,Singapore,SG,,,,1.35,103.82,10,confirmed,2020-01-30T00:00:00Z,3.0
9,Singapore,SG,,,,1.35,103.82,13,confirmed,2020-01-31T00:00:00Z,3.0
10,Singapore,SG,,,,1.35,103.82,16,confirmed,2020-02-01T00:00:00Z,3.0
11,Singapore,SG,,,,1.35,103.82,18,confirmed,2020-02-02T00:00:00Z,2.0
12,Singapore,SG,,,,1.35,103.82,18,confirmed,2020-02-03T00:00:00Z,0.0
13,Singapore,SG,,,,1.35,103.82,24,confirmed,2020-02-04T00:00:00Z,6.0
14,Singapore,SG,,,,1.35,103.82,28,confirmed,2020-02-05T00:00:00Z,4.0
15,Singapore,SG,,,,1.35,103.82,28,confirmed,2020-02-06T00:00:00Z,0.0
16,Singapore,SG,,,,1.35,103.82,30,confirmed,2020-02-07T00:00:00Z,2.0
17,Singapore,SG,,,,1.35,103.82,33,confirmed,2020-02-08T00:00:00Z,3.0
18,Singapore,SG,,,,1.35,103.82,40,confirmed,2020-02-09T00:00:00Z,7.0
19,Singapore,SG,,,,1.35,103.82,45,confirmed,2020-02-10T00:00:00Z,5.0
20,Singapore,SG,,,,1.35,103.82,47,confirmed,2020-02-11T00:00:00Z,2.0
21,Singapore,SG,,,,1.35,103.82,50,confirmed,2020-02-12T00:00:00Z,3.0
22,Singapore,SG,,,,1.35,103.82,58,confirmed,2020-02-13T00:00:00Z,8.0
23,Singapore,SG,,,,1.35,103.82,67,confirmed,2020-02-14T00:00:00Z,9.0
24,Singapore,SG,,,,1.35,103.82,72,confirmed,2020-02-15T00:00:00Z,5.0
25,Singapore,SG,,,,1.35,103.82,75,confirmed,2020-02-16T00:00:00Z,3.0
26,Singapore,SG,,,,1.35,103.82,77,confirmed,2020-02-17T00:00:00Z,2.0
27,Singapore,SG,,,,1.35,103.82,81,confirmed,2020-02-18T00:00:00Z,4.0
28,Singapore,SG,,,,1.35,103.82,84,confirmed,2020-02-19T00:00:00Z,3.0
29,Singapore,SG,,,,1.35,103.82,84,confirmed,2020-02-20T00:00:00Z,0.0
30,Singapore,SG,,,,1.35,103.82,85,confirmed,2020-02-21T00:00:00Z,1.0
31,Singapore,SG,,,,1.35,103.82,85,confirmed,2020-02-22T00:00:00Z,0.0
32,Singapore,SG,,,,1.35,103.82,89,confirmed,2020-02-23T00:00:00Z,4.0
33,Singapore,SG,,,,1.35,103.82,89,confirmed,2020-02-24T00:00:00Z,0.0
34,Singapore,SG,,,,1.35,103.82,91,confirmed,2020-02-25T00:00:00Z,2.0
35,Singapore,SG,,,,1.35,103.82,93,confirmed,2020-02-26T00:00:00Z,2.0
36,Singapore,SG,,,,1.35,103.82,93,confirmed,2020-02-27T00:00:00Z,0.0
37,Singapore,SG,,,,1.35,103.82,93,confirmed,2020-02-28T00:00:00Z,0.0
38,Singapore,SG,,,,1.35,103.82,102,confirmed,2020-02-29T00:00:00Z,9.0
39,Singapore,SG,,,,1.35,103.82,106,confirmed,2020-03-01T00:00:00Z,4.0
40,Singapore,SG,,,,1.35,103.82,108,confirmed,2020-03-02T00:00:00Z,2.0
41,Singapore,SG,,,,1.35,103.82,110,confirmed,2020-03-03T00:00:00Z,2.0
42,Singapore,SG,,,,1.35,103.82,110,confirmed,2020-03-04T00:00:00Z,0.0
43,Singapore,SG,,,,1.35,103.82,117,confirmed,2020-03-05T00:00:00Z,7.0
44,Singapore,SG,,,,1.35,103.82,130,confirmed,2020-03-06T00:00:00Z,13.0
45,Singapore,SG,,,,1.35,103.82,138,confirmed,2020-03-07T00:00:00Z,8.0
46,Singapore,SG,,,,1.35,103.82,150,confirmed,2020-03-08T00:00:00Z,12.0
47,Singapore,SG,,,,1.35,103.82,150,confirmed,2020-03-09T00:00:00Z,0.0
48,Singapore,SG,,,,1.35,103.82,160,confirmed,2020-03-10T00:00:00Z,10.0
49,Singapore,SG,,,,1.35,103.82,178,confirmed,2020-03-11T00:00:00Z,18.0
50,Singapore,SG,,,,1.35,103.82,178,confirmed,2020-03-12T00:00:00Z,0.0
51,Singapore,SG,,,,1.35,103.82,200,confirmed,2020-03-13T00:00:00Z,22.0
52,Singapore,SG,,,,1.35,103.82,212,confirmed,2020-03-14T00:00:00Z,12.0
53,Singapore,SG,,,,1.35,103.82,226,confirmed,2020-03-15T00:00:00Z,14.0
54,Singapore,SG,,,,1.35,103.82,243,confirmed,2020-03-16T00:00:00Z,17.0
55,Singapore,SG,,,,1.35,103.82,266,confirmed,2020-03-17T00:00:00Z,23.0
56,Singapore,SG,,,,1.35,103.82,313,confirmed,2020-03-18T00:00:00Z,47.0
57,Singapore,SG,,,,1.35,103.82,345,confirmed,2020-03-19T00:00:00Z,32.0
58,Singapore,SG,,,,1.35,103.82,385,confirmed,2020-03-20T00:00:00Z,40.0
59,Singapore,SG,,,,1.35,103.82,432,confirmed,2020-03-21T00:00:00Z,47.0
60,Singapore,SG,,,,1.35,103.82,455,confirmed,2020-03-22T00:00:00Z,23.0
61,Singapore,SG,,,,1.35,103.82,509,confirmed,2020-03-23T00:00:00Z,54.0
62,Singapore,SG,,,,1.35,103.82,558,confirmed,2020-03-24T00:00:00Z,49.0
63,Singapore,SG,,,,1.35,103.82,631,confirmed,2020-03-25T00:00:00Z,73.0
64,Singapore,SG,,,,1.35,103.82,683,confirmed,2020-03-26T00:00:00Z,52.0
65,Singapore,SG,,,,1.35,103.82,732,confirmed,2020-03-27T00:00:00Z,49.0
66,Singapore,SG,,,,1.35,103.82,802,confirmed,2020-03-28T00:00:00Z,70.0
67,Singapore,SG,,,,1.35,103.82,844,confirmed,2020-03-29T00:00:00Z,42.0
68,Singapore,SG,,,,1.35,103.82,879,confirmed,2020-03-30T00:00:00Z,35.0
69,Singapore,SG,,,,1.35,103.82,926,confirmed,2020-03-31T00:00:00Z,47.0
70,Singapore,SG,,,,1.35,103.82,1000,confirmed,2020-04-01T00:00:00Z,74.0
71,Singapore,SG,,,,1.35,103.82,1049,confirmed,2020-04-02T00:00:00Z,49.0
72,Singapore,SG,,,,1.35,103.82,1114,confirmed,2020-04-03T00:00:00Z,65.0
73,Singapore,SG,,,,1.35,103.82,1189,confirmed,2020-04-04T00:00:00Z,75.0
74,Singapore,SG,,,,1.35,103.82,1309,confirmed,2020-04-05T00:00:00Z,120.0
75,Singapore,SG,,,,1.35,103.82,1375,confirmed,2020-04-06T00:00:00Z,66.0
76,Singapore,SG,,,,1.35,103.82,1481,confirmed,2020-04-07T00:00:00Z,106.0
77,Singapore,SG,,,,1.35,103.82,1623,confirmed,2020-04-08T00:00:00Z,142.0
78,Singapore,SG,,,,1.35,103.82,1910,confirmed,2020-04-09T00:00:00Z,287.0
